datetime_Europe_Brussels,solar_actual
2024-06-20 19:00:00+02:00,14345.0
2024-06-20 20:00:00+02:00,7114.0
2024-06-20 21:00:00+02:00,596.0
2024-06-20 22:00:00+02:00,2.0
2024-06-20 23:00:00+02:00,0.0
2024-06-21 00:00:00+02:00,0.0
2024-06-21 01:00:00+02:00,0.0
2024-06-21 02:00:00+02:00,0.0
2024-06-21 03:00:00+02:00,0.0
2024-06-21 04:00:00+02:00,40.0
2024-06-21 05:00:00+02:00,2168.0
2024-06-21 06:00:00+02:00,12420.0
2024-06-21 07:00:00+02:00,27355.0
2024-06-21 08:00:00+02:00,42741.0
2024-06-21 09:00:00+02:00,57206.0
2024-06-21 10:00:00+02:00,72534.0
2024-06-21 11:00:00+02:00,84950.0
2024-06-21 12:00:00+02:00,87487.0
2024-06-21 13:00:00+02:00,84991.0
2024-06-21 14:00:00+02:00,83910.0
2024-06-21 15:00:00+02:00,72921.0
2024-06-21 16:00:00+02:00,56029.0
2024-06-21 17:00:00+02:00,38557.0
2024-06-21 18:00:00+02:00,26726.0
2024-06-21 19:00:00+02:00,15343.0
2024-06-21 20:00:00+02:00,5665.0
2024-06-21 21:00:00+02:00,564.0
2024-06-21 22:00:00+02:00,2.0
2024-06-21 23:00:00+02:00,0.0
2024-06-22 00:00:00+02:00,0.0
2024-06-22 01:00:00+02:00,0.0
2024-06-22 02:00:00+02:00,0.0
2024-06-22 03:00:00+02:00,0.0
2024-06-22 04:00:00+02:00,26.0
2024-06-22 05:00:00+02:00,1188.0
2024-06-22 06:00:00+02:00,10022.0
2024-06-22 07:00:00+02:00,28628.0
2024-06-22 08:00:00+02:00,55216.0
2024-06-22 09:00:00+02:00,86159.0
2024-06-22 10:00:00+02:00,114741.0
2024-06-22 11:00:00+02:00,133302.0
2024-06-22 12:00:00+02:00,143894.0
2024-06-22 13:00:00+02:00,143329.0
2024-06-22 14:00:00+02:00,133141.0
2024-06-22 15:00:00+02:00,118079.0
2024-06-22 16:00:00+02:00,99309.0
2024-06-22 17:00:00+02:00,75054.0
2024-06-22 18:00:00+02:00,48881.0
2024-06-22 19:00:00+02:00,24810.0
2024-06-22 20:00:00+02:00,9121.0
2024-06-22 21:00:00+02:00,966.0
2024-06-22 22:00:00+02:00,2.0
2024-06-22 23:00:00+02:00,0.0
2024-06-23 00:00:00+02:00,0.0
2024-06-23 01:00:00+02:00,0.0
2024-06-23 02:00:00+02:00,0.0
2024-06-23 03:00:00+02:00,0.0
2024-06-23 04:00:00+02:00,41.0
2024-06-23 05:00:00+02:00,1946.0
2024-06-23 06:00:00+02:00,12027.0
2024-06-23 07:00:00+02:00,33986.0
2024-06-23 08:00:00+02:00,63279.0
2024-06-23 09:00:00+02:00,91602.0
2024-06-23 10:00:00+02:00,113236.0
2024-06-23 11:00:00+02:00,127534.0
2024-06-23 12:00:00+02:00,136948.0
2024-06-23 13:00:00+02:00,139662.0
2024-06-23 14:00:00+02:00,135280.0
2024-06-23 15:00:00+02:00,121756.0
2024-06-23 16:00:00+02:00,102573.0
2024-06-23 17:00:00+02:00,78271.0
2024-06-23 18:00:00+02:00,51150.0
2024-06-23 19:00:00+02:00,27001.0
2024-06-23 20:00:00+02:00,9651.0
2024-06-23 21:00:00+02:00,975.0
2024-06-23 22:00:00+02:00,2.0
2024-06-23 23:00:00+02:00,0.0
2024-06-24 00:00:00+02:00,0.0
2024-06-24 01:00:00+02:00,0.0
2024-06-24 02:00:00+02:00,0.0
2024-06-24 03:00:00+02:00,0.0
2024-06-24 04:00:00+02:00,42.0
2024-06-24 05:00:00+02:00,2441.0
2024-06-24 06:00:00+02:00,16010.0
2024-06-24 07:00:00+02:00,45281.0
2024-06-24 08:00:00+02:00,83295.0
2024-06-24 09:00:00+02:00,122558.0
2024-06-24 10:00:00+02:00,151746.0
2024-06-24 11:00:00+02:00,166596.0
2024-06-24 12:00:00+02:00,170432.0
2024-06-24 13:00:00+02:00,168552.0
2024-06-24 14:00:00+02:00,164332.0
2024-06-24 15:00:00+02:00,153214.0
2024-06-24 16:00:00+02:00,134534.0
2024-06-24 17:00:00+02:00,104779.0
2024-06-24 18:00:00+02:00,67576.0
2024-06-24 19:00:00+02:00,33255.0
2024-06-24 20:00:00+02:00,11432.0
2024-06-24 21:00:00+02:00,1141.0
2024-06-24 22:00:00+02:00,2.0
2024-06-24 23:00:00+02:00,0.0
2024-06-25 00:00:00+02:00,0.0
2024-06-25 01:00:00+02:00,0.0
2024-06-25 02:00:00+02:00,0.0
2024-06-25 03:00:00+02:00,0.0
2024-06-25 04:00:00+02:00,44.0
2024-06-25 05:00:00+02:00,2570.0
2024-06-25 06:00:00+02:00,16296.0
2024-06-25 07:00:00+02:00,46335.0
2024-06-25 08:00:00+02:00,87171.0
2024-06-25 09:00:00+02:00,128285.0
2024-06-25 10:00:00+02:00,160723.0
2024-06-25 11:00:00+02:00,180913.0
2024-06-25 12:00:00+02:00,191834.0
2024-06-25 13:00:00+02:00,194290.0
2024-06-25 14:00:00+02:00,188146.0
2024-06-25 15:00:00+02:00,170873.0
2024-06-25 16:00:00+02:00,144722.0
2024-06-25 17:00:00+02:00,109097.0
2024-06-25 18:00:00+02:00,68649.0
2024-06-25 19:00:00+02:00,32931.0
2024-06-25 20:00:00+02:00,11361.0
2024-06-25 21:00:00+02:00,1130.0
2024-06-25 22:00:00+02:00,1.0
2024-06-25 23:00:00+02:00,0.0
2024-06-26 00:00:00+02:00,0.0
2024-06-26 01:00:00+02:00,0.0
2024-06-26 02:00:00+02:00,0.0
2024-06-26 03:00:00+02:00,0.0
2024-06-26 04:00:00+02:00,30.0
2024-06-26 05:00:00+02:00,2444.0
2024-06-26 06:00:00+02:00,15303.0
2024-06-26 07:00:00+02:00,42925.0
2024-06-26 08:00:00+02:00,80471.0
2024-06-26 09:00:00+02:00,119808.0
2024-06-26 10:00:00+02:00,150352.0
2024-06-26 11:00:00+02:00,168582.0
2024-06-26 12:00:00+02:00,175074.0
2024-06-26 13:00:00+02:00,174072.0
2024-06-26 14:00:00+02:00,162483.0
2024-06-26 15:00:00+02:00,141273.0
2024-06-26 16:00:00+02:00,113598.0
2024-06-26 17:00:00+02:00,82794.0
2024-06-26 18:00:00+02:00,50587.0
2024-06-26 19:00:00+02:00,24540.0
2024-06-26 20:00:00+02:00,9047.0
2024-06-26 21:00:00+02:00,1194.0
2024-06-26 22:00:00+02:00,2.0
2024-06-26 23:00:00+02:00,0.0
2024-06-27 00:00:00+02:00,0.0
2024-06-27 01:00:00+02:00,0.0
2024-06-27 02:00:00+02:00,0.0
2024-06-27 03:00:00+02:00,0.0
2024-06-27 04:00:00+02:00,24.0
2024-06-27 05:00:00+02:00,2074.0
2024-06-27 06:00:00+02:00,12470.0
2024-06-27 07:00:00+02:00,33715.0
2024-06-27 08:00:00+02:00,65010.0
2024-06-27 09:00:00+02:00,100811.0
2024-06-27 10:00:00+02:00,129912.0
2024-06-27 11:00:00+02:00,148045.0
2024-06-27 12:00:00+02:00,151546.0
2024-06-27 13:00:00+02:00,146442.0
2024-06-27 14:00:00+02:00,136475.0
2024-06-27 15:00:00+02:00,120411.0
2024-06-27 16:00:00+02:00,99579.0
2024-06-27 17:00:00+02:00,75143.0
2024-06-27 18:00:00+02:00,46923.0
2024-06-27 19:00:00+02:00,23812.0
2024-06-27 20:00:00+02:00,8693.0
2024-06-27 21:00:00+02:00,958.0
2024-06-27 22:00:00+02:00,4.0
2024-06-27 23:00:00+02:00,0.0
2024-06-28 00:00:00+02:00,0.0
2024-06-28 01:00:00+02:00,0.0
2024-06-28 02:00:00+02:00,0.0
2024-06-28 03:00:00+02:00,0.0
2024-06-28 04:00:00+02:00,23.0
2024-06-28 05:00:00+02:00,2159.0
2024-06-28 06:00:00+02:00,13888.0
2024-06-28 07:00:00+02:00,37181.0
2024-06-28 08:00:00+02:00,68382.0
2024-06-28 09:00:00+02:00,101735.0
2024-06-28 10:00:00+02:00,132708.0
2024-06-28 11:00:00+02:00,149477.0
2024-06-28 12:00:00+02:00,152470.0
2024-06-28 13:00:00+02:00,152521.0
2024-06-28 14:00:00+02:00,151612.0
2024-06-28 15:00:00+02:00,143170.0
2024-06-28 16:00:00+02:00,123459.0
2024-06-28 17:00:00+02:00,98593.0
2024-06-28 18:00:00+02:00,64941.0
2024-06-28 19:00:00+02:00,32064.0
2024-06-28 20:00:00+02:00,10989.0
2024-06-28 21:00:00+02:00,1028.0
